RevTotal1,RevTotal2,RevTotal3,RevTotal4,RevTotal5,AssetsTotal1,AssetsTotal2,AssetsTotal3,AssetsTotal4,AssetsTotal5,RevTotal6?
2554220,2178866,2453641,3010905,2305346,7997969,7870759,9104665,8612296,8813908,
1395791,1400804,1512464,1499149,1517662,6954152,6240565,6300436,6053186,5975202,
2655047,2720068,2725218,2729045,2782772,22104612,23504922,22858150,22072904,21561109,
1100189,1116715,1130855,1163860,1188297,16865520,16928655,17236651,17287401,17222646,
251405,246902,242194,229780,318978,5748409,5699085,5337659,5107544,4715273,
11593221,9195064,15233670,8228855,9183460,46620648,48348617,56579926,61811532,64176675,
124445148,154605230,183072283,59908872,203657710,48950081,153479746,178662532,0,189295688,
2775653,4912821,7398607,7600922,7989776,42087059,59407470,67435713,66776785,65580291,
4053835,3332662,7359996,2894881,3410833,17108160,17028657,21225707,21964586,22488568,
500341,499013,241,130,317,933093,688894,1025253,820568,1226,
2118143,1771185,2329301,1909822,2452686,1380342,1392876,1483198,1465717,1655221,
21494767,27529147,34653725,43822817,41412403,50564898,56552394,106930485,122411046,138485239,
20652598,23019320,25453772,28065878,30363241,16037119,17436796,17858145,18397930,22707990,
1093459,1120499,1170604,1194731,1197711,12045393,12742372,13107157,13061508,12658585,
6192961,1875594,1993017,2000898,1861678,10121964,9214882,9081185,9560480,9437019,
5133379,1322295,5230403,11938201,10102313,6176505,6964316,6616357,12070763,15482961,
469446,488948,486088,477892,428353,818760,944300,994209,1042212,1028257,
0,0,108488,406828,254970,0,0,693362,1060156,840256,
614004,559111,735606,755847,739638,404043,330352,327339,580902,364043,
121893,-274069,-851358,-680752,5469048,10586641,10566416,8975350,9814344,0,
7027,-12749,106887,-56146,1093172,2717679,2769382,2661118,2628574,0,
463540,461203,467342,471169,459646,775342,941960,1160647,1379817,1970950,
4866918,4853563,5435275,3226469,5804712,4573166,4576185,5681303,0,5248967,
1732614,2621777,1531723,1537353,7072851,9409620,9776904,10327448,16109891,26564478,
3131277,3297113,2842580,2903237,3662807,1573459,3422203,4682788,3003425,3730887,
42461593,3082174,3274193,6618048,4128031,107422120,107810674,120288526,145867825,133848540,
354824,1107617,475961,431236,468905,6143935,6590156,6429186,6836489,7299162,
3017938,2963960,3170269,3163798,3213911,10748388,11157058,11673374,11701450,11877479,
4865093,2284148,2189395,3044260,3449668,2117601,1859913,2577232,15286803,14925442,
2545651,2545716,2455765,2514849,2445253,6874682,6772596,6944869,7509297,7367802,
1892002,141755907,5818276,18411,21533,611779,659706,881399,772249,786784,
1100057,1205439,1215464,1224537,1288406,2099163,2014198,1966878,1909174,1833765,
45944,45944,45943,45944,45943,2236727,2282671,2328614,2374558,2420501,
2756011,2802952,2823888,2864616,2931205,13114378,12340225,12047531,11884022,11657861,
2214035,2570729,3100388,2192563,2764082,1863534,2116897,2447901,1653798,2349862,
543568,437531,319892,310613,301489,2148557,2012559,1906448,1811519,1700202,
42732819,54628157,59351594,80113763,215858879,940210908,1003612478,1212783861,1186023708,1327087827,
282886,655737,306423,317893,323701,1924985,2273695,2274301,2274726,2277581,
56666,57175,56800,57755,56067,66535,76868,79405,90198,90098,
169096,170391,186026,191231,192122,497443,560369,579139,547707,541451,
954256,977328,1013026,1053051,1107588,4717715,4534512,4419848,4289694,3997943,
219604,218792,369351,224914,225060,6720122,6940689,7306716,7531655,7758640,
2126456,2601724,2166508,2101337,2128634,4899312,5383992,5444524,6184909,6059977,
1576399,1649106,1671435,1688251,1699218,4503683,4527635,4558869,4537067,4314390,
13200,13200,13200,11853,13200,429354,442554,455754,467607,479064,
246427,246427,246427,246424,246428,8009644,8256071,8502498,8748922,8992775,
475,564,563,564,56470,1410339,1410282,1409264,1409828,1430839,
7300221,8522793,8867502,8423937,7362299,54260016,57207660,54355984,58781639,61090888,
125298,227679,191468,144565,149381,1376176,1384729,1348493,1317430,1288911,
3018957,3109780,3359027,3412423,3580745,14838420,12835753,17146443,16998156,17004371,
48767417,54384842,57396963,60413281,61322643,25722591,24847618,24504802,28503249,27923598,
9154847,9130557,9230487,9605483,9984759,17144009,18827306,31968363,42300719,55437810,
5423257,5648819,5543867,5161537,5501011,13029654,12157634,11897765,11887270,11437149,
338221,340566,340566,340566,340566,10706279,10748164,11088730,11429296,12082957,
1501028,2297272,2450436,2368116,2660615,2211613,1831804,2376059,2594448,2775605,
1063267,1155163,1179043,1191210,1196464,3824704,3734657,3486422,3451860,3365607,
1879399,1899552,22334989,953255,945531,2770768,2652218,22971071,23741758,24571249,
353173,384988,522756,455052,436599,223189,218443,246431,258942,252356,
212318,162895,180465,322021,189827,746651,741814,760550,60594,39396,
112753,112631,110006,108636,112769,1839488,1733125,1683558,1633972,1589863,
105600,111646,112479,108393,107250,1675198,1585251,1559317,1506671,1475209,
270442,419126,81904,215975,2842953,733188,616193,471472,343841,2701643,
440747,513949,607033,533284,694885,1240799,1302387,1487035,1538825,1800079,
11897292,11893358,12035065,11864048,11207077,59592384,61657739,60595221,61228941,65409022,
722027,715442,680271,634605,616924,814146,856271,825654,831762,785808,
76030,69901,225470,251715,121468,2439169,2566424,2889629,2653806,3150996,
577921,947761,598969,669914,1274838,2851117,3258266,3577291,3549566,3975583,
2344190,2494506,2279014,2452848,2679285,1181818,407285,1034844,1616604,1196823,
1340873,1448820,1423329,3329311,122026,2384644,2298481,2290748,2160047,0,
325815,320877,316443,312187,0,888416,928523,948219,1063200,0,
32545160,35771576,39859576,45781121,46945105,12622355,16350550,19176460,19847481,23116444,
2507738,2550786,2604251,2736429,3510646,3944309,3797914,3639925,3629622,4413569,
1589200,1591244,1780651,1829314,1848009,1335886,1087296,3061384,3376201,3655650,
277660,205951,429625,282000,253924,250804,173018,191610,184992,165459,
7350600,7322218,8363409,11714748,7380820,15529123,18497784,22171814,16710714,18691664,
2133689,2054497,2103936,2071881,2126166,7085507,6962272,6686236,6962569,9071726,
351211,389354,400431,392006,530573,1969144,1739316,1576158,1587893,1552329,
1180406,1200943,1260703,1295391,1406357,1734818,1572979,1715633,1728241,1919591,
1680604,576285,710505,1806917,2133408,5579640,5595364,5931017,7337505,9016174,
-107148,-215197,-84189,-143119,-245365,5461155,4670585,4381631,3780516,3442584,
601282,830083,2009135,580337,738473,2056328,1349930,2606148,1848303,2422548,
3063334,3307615,3521190,3637178,4142308,3630809,3591572,3280716,2900578,3428184,
10000,10000,10000,10000,10000,1105260,921050,736840,552630,368420,
3435572,2943995,2985582,3492412,3804173,2516892,2570918,2654823,3654466,6190400,
1145123,1168266,1548046,1231662,1079242,5217543,4897730,4896470,4651765,4310358,
964724,940007,929931,863541,912999,1847956,1613435,1490262,1374967,1267844,
1461240,1480956,1619543,1869849,1876950,246235,8428,237619,408013,235733,
864843,30000,0,17852,466545,2289097,1882811,1616886,1631043,0,
668803,668803,668803,668803,668801,11344961,11104431,10834942,10574944,10304629,
398580,401000,351769,378814,529095,1120228,2109239,1757277,1809995,2353882,
1657545,1694073,1681192,14135167,301847,2093400,1898363,1396963,3041878,3326076,
1347529,1372622,1418471,1387676,1475312,4195308,3987175,3472785,3054081,5545214,
45715633,40343879,38714966,31790792,30437940,97667781,100693198,104657704,113982967,112588636,
725917,742463,783881,783007,826646,2924659,2769557,2688485,2644973,2721737,
999219,2293,6395,5947,3632,333548,306834,314484,320431,324063,
771775,847642,726297,1928121,383466,14714109,15137022,14530874,15931131,15762821,
2900974,3001209,3414885,3363555,3588882,8818580,2793986,3183572,2977291,3639952,
1297927,1272258,1424061,1265449,1322921,7844734,7740914,7827743,7700371,7616159,
421445,333269,1437619,466851,310070,2015104,1979864,2257703,2286922,2076917,
21815,21815,21815,35408,18179,705260,722075,743892,779300,798124,
