122445,123667,132322,138103,432529,5.13E+05
-6132,71330,548333,95814,123620,6.60E+05
0,0,0,150000,0,3.40E+05
1056391,938927,885762,945491,1067991,1.40E+06
95390,91759,96240,93035,100306,3.40E+05
151434,159961,219863,214120,237432,5.13E+05
372687,1648616,3039842,355357,1514358,1.40E+06
3563677,3410250,3643090,2850732,2552822,2.73E+06
395418,396312,415902,447468,460180,5.13E+05
-9735,-4620,-15577,-66338,112520,5.13E+05
15492610,15689077,16109912,16187476,16041067,1.32E+07
100,100,100,100,100,3.40E+05
49697,49910,45753,54077,49966,3.40E+05
68374,65353,69069,73319,73106,3.40E+05
212080,197472,199117,230596,274406,5.13E+05
1602482,1601041,1632459,1631154,1640817,2.03E+06
81979,81475,81319,79464,82921,3.40E+05
299883,325543,330455,297272,292563,5.49E+05
331514,357377,369164,403416,424680,5.49E+05
1124377,1121487,1102290,1229542,1185237,1.40E+06
365872,373491,371344,373936,396180,5.49E+05
1135153,201728,1267675,1201813,1399093,1.40E+06
115837,120908,117776,121768,135105,5.13E+05
274712,273872,245165,240126,217108,5.13E+05
1140226,1302394,1190695,1207210,1245346,1.40E+06
13391,80738,16942,66064,16807,3.40E+05
408535,408211,405245,406338,399611,5.13E+05
3955805,5105193,5429326,5468986,-89257,4.40E+06
125736,118791,115063,101001,84041,3.40E+05
510878,624154,794471,820763,901318,9.01E+05
152796,237288,231317,263975,230476,5.13E+05
235763,206792,224379,228518,367148,5.13E+05
718866,745745,742063,760541,725356,6.60E+05
160910,50168,274009,307185,353634,3.40E+05
111662,115980,110986,117082,131132,3.40E+05
196519,199009,216379,476868,510870,5.13E+05
761350,753073,742951,800914,784473,6.60E+05
952869,960393,1137106,969991,951096,1.40E+06
768700,985132,596812,318783,538153,5.49E+05
991653,1079509,1102864,1117261,1070313,1.40E+06
235469,233070,271404,211960,303199,5.13E+05
1194523,1478876,1622821,2023077,2176611,2.08E+06
272933,255689,268430,284001,276708,5.13E+05
500066,435409,481689,575269,429182,5.13E+05
576332,433648,641062,528937,534239,5.49E+05
1558436,1435198,1054107,1041143,1086361,1.40E+06
702317,704170,1281810,2226273,1813646,2.03E+06
434289,440040,482171,597218,794774,5.49E+05
10198707,10415253,10749701,10556314,10514363,9.17E+06
5342241,4706403,4105155,3413723,1403734,4.40E+06
736425,459986,611396,348760,365256,5.13E+05
395875,426912,424920,533987,499198,5.13E+05
102620,130693,151526,162842,147529,5.13E+05
200905,235157,250747,284362,282251,5.13E+05
3417,33,1355,3297,5288,3.40E+05
720595,718494,721547,778310,787830,6.60E+05
3726472,3505618,3283938,3277267,3612224,2.84E+06
338985,320592,264570,267971,256312,5.13E+05
1139401,1147611,1163180,1316199,761424,1.40E+06
1466945,1423091,1516800,1532381,1636894,2.37E+06
634593,1011380,997273,1006903,1637361,1.40E+06
309574,300485,298370,298587,294928,5.13E+05
24276510,28960531,24782805,30159358,21105622,2.91E+07
1078827,1039486,1254057,1064381,1398710,1.40E+06
559217,577306,638098,666469,676015,6.60E+05
313901,451795,264023,564074,295565,5.13E+05
807809,799587,792780,997413,1057207,1.40E+06
340335,310111,277909,300584,3036617,5.13E+05
19286455,21712222,22711550,22751459,21108224,1.58E+07
865874,845246,934377,1102775,453102,6.60E+05
89874,101846,91492,71924,28517,3.40E+05
2660322,1958810,1531816,1443636,1014814,1.40E+06
7027442,10690359,9241637,8968108,10713943,8.73E+06
7873116,179320,192166,201318,210915,5.13E+05
178625,203618,217202,216880,208343,5.13E+05
1041831,1053184,1298819,1288110,1278614,1.40E+06
14842,11735,13723,12979,13832,3.40E+05
677765,715581,767821,795306,798407,6.60E+05
640220,646731,653188,691437,708075,6.60E+05
1193066,1197829,1197985,1202656,2634295,1.40E+06
80899,80218,79790,81439,83840,3.40E+05
3586208,1453451,1764765,1281848,593793,1.40E+06
736359,747619,759488,784137,788713,6.60E+05
83295,83244,84447,83287,83310,3.40E+05
-16335,39945,39513,229756,35089,3.40E+05
1543717,1571202,1524937,1524937,561296,9.01E+05
157904,156571,160883,157418,151066,3.40E+05
24749372,25222583,26832134,27146459,28560553,2.91E+07
61406,63213,61907,62494,61790,3.40E+05
1789929,2233158,2090822,1940882,5941615,2.84E+06
-329080,-131529,2022379,1898461,1909960,2.03E+06
477900,537259,484168,503895,454500,5.13E+05
479867,498956,520729,536335,591956,5.49E+05
0,0,185868,375572,77576,3.40E+05
755683,537465,734538,783315,841936,6.60E+05
-49988,58069,63675,-10924,-60593,6.60E+05
247495,204804,246303,737464,260793,5.13E+05
1730541,2555876,3190957,3566850,3203328,2.84E+06
541267,202258,202258,202258,202258,5.13E+05
1959133,2051869,2175896,2060838,2312455,2.03E+06
1465447,1485726,1511295,1513247,1547417,1.40E+06
4052149,2298971,5083434,2441421,2414429,2.73E+06
1828143,1738499,1823482,1919438,2325940,2.03E+06
1462503,1430633,1481736,1484825,1456661,1.40E+06
2630992,4560291,3673835,3814693,3660005,5.13E+06
558299,592206,666936,631815,674975,6.60E+05
66475,177545,117717,65704,65971,3.40E+05
3067137,2761219,2506330,2548645,2570530,2.16E+06
2759165,2580722,2572705,2603997,2626086,2.16E+06
